t=1.0 live=208568 hwm=208568 allocs=142 sample
t=2.0 live=203936 hwm=212676 allocs=144 sample
t=3.0 live=203936 hwm=212676 allocs=146 sample
t=4.0 live=203936 hwm=212676 allocs=148 sample
t=5.0 live=203936 hwm=212676 allocs=150 sample
t=6.0 live=203936 hwm=212676 allocs=152 sample
t=7.0 live=203936 hwm=212676 allocs=154 sample
t=8.0 live=203936 hwm=212676 allocs=156 sample
t=9.0 live=203936 hwm=212676 allocs=158 sample
t=10.0 live=203936 hwm=212676 allocs=160 sample
t=11.0 live=402788 hwm=422532 allocs=6658 sample
t=12.0 live=402788 hwm=422532 allocs=6660 sample
t=13.0 live=402788 hwm=422532 allocs=6662 sample
t=14.0 live=402788 hwm=422532 allocs=6664 sample
t=15.0 live=513740 hwm=533484 allocs=6764 sample
t=16.0 live=513740 hwm=533484 allocs=6766 sample
t=17.0 live=513740 hwm=533484 allocs=6768 sample
t=18.0 live=513740 hwm=533484 allocs=6770 sample
t=19.0 live=513740 hwm=533484 allocs=6772 sample
t=20.0 live=513740 hwm=533484 allocs=6774 sample
t=21.0 live=513740 hwm=533484 allocs=6776 sample
t=22.0 live=513740 hwm=533484 allocs=6778 sample
t=23.0 live=626704 hwm=646448 allocs=6879 sample
t=24.0 live=626704 hwm=646448 allocs=6881 sample
t=25.0 live=626704 hwm=646448 allocs=6883 sample
t=26.0 live=626704 hwm=646448 allocs=6885 sample
t=27.0 live=735148 hwm=754892 allocs=6984 sample
t=28.0 live=735148 hwm=754892 allocs=6986 sample
t=29.0 live=735148 hwm=754892 allocs=6988 sample
t=30.0 live=735148 hwm=754892 allocs=6990 sample
t=31.0 live=843592 hwm=863336 allocs=7089 sample
t=32.0 live=843592 hwm=863336 allocs=7091 sample
t=33.0 live=843592 hwm=863336 allocs=7093 sample
t=34.0 live=843592 hwm=863336 allocs=7095 sample
t=35.0 live=843592 hwm=863336 allocs=7097 sample
t=36.0 live=849244 hwm=891228 allocs=7129 sample
t=37.0 live=849244 hwm=891228 allocs=7131 sample
t=38.0 live=849244 hwm=891228 allocs=7133 sample
t=39.0 live=849244 hwm=891228 allocs=7135 sample
t=40.0 live=849244 hwm=891228 allocs=7137 sample
t=41.0 live=849244 hwm=891228 allocs=7139 sample
t=42.0 live=849244 hwm=891228 allocs=7141 sample
t=43.0 live=830528 hwm=891228 allocs=7143 sample
t=44.0 live=830528 hwm=891228 allocs=7145 sample
t=45.0 live=830528 hwm=891228 allocs=7147 sample
t=46.0 live=830528 hwm=891228 allocs=7149 sample
t=47.0 live=811812 hwm=891228 allocs=7151 sample
t=48.0 live=811812 hwm=891228 allocs=7153 sample
t=49.0 live=811812 hwm=891228 allocs=7155 sample
t=50.0 live=811812 hwm=891228 allocs=7157 sample
t=51.0 live=811812 hwm=891228 allocs=7159 sample
t=52.0 live=811812 hwm=891228 allocs=7161 sample
t=53.0 live=811812 hwm=891228 allocs=7163 sample
t=54.0 live=811812 hwm=891228 allocs=7165 sample
t=55.0 live=793096 hwm=891228 allocs=7167 sample
t=56.0 live=793096 hwm=891228 allocs=7169 sample
t=57.0 live=793096 hwm=891228 allocs=7171 sample
t=58.0 live=793096 hwm=891228 allocs=7173 sample
t=59.0 live=774380 hwm=891228 allocs=7175 sample
t=60.0 live=774380 hwm=891228 allocs=7177 sample
t=61.0 live=774380 hwm=891228 allocs=7179 sample
t=62.0 live=774380 hwm=891228 allocs=7181 sample
t=63.0 live=755664 hwm=891228 allocs=7183 sample
t=64.0 live=755664 hwm=891228 allocs=7185 sample
t=65.0 live=755664 hwm=891228 allocs=7187 sample
t=66.0 live=755664 hwm=891228 allocs=7189 sample
t=67.0 live=755664 hwm=891228 allocs=7191 sample
t=68.0 live=736948 hwm=891228 allocs=7193 sample
t=69.0 live=652676 hwm=891228 allocs=7195 sample
t=70.0 live=652676 hwm=891228 allocs=7197 sample
t=71.0 live=652676 hwm=891228 allocs=7199 sample
t=72.0 live=652676 hwm=891228 allocs=7201 sample
t=73.0 live=652676 hwm=891228 allocs=7203 sample
t=74.0 live=652676 hwm=891228 allocs=7205 sample
t=75.0 live=652676 hwm=891228 allocs=7207 sample
t=76.0 live=652676 hwm=891228 allocs=7209 sample
t=77.0 live=652676 hwm=891228 allocs=7211 sample
t=78.0 live=652676 hwm=891228 allocs=7213 sample
t=79.0 live=652676 hwm=891228 allocs=7215 sample
t=80.0 live=652676 hwm=891228 allocs=7217 sample
t=81.0 live=652676 hwm=891228 allocs=7219 sample
t=82.0 live=652676 hwm=891228 allocs=7221 sample
t=83.0 live=652676 hwm=891228 allocs=7223 sample
t=84.0 live=652676 hwm=891228 allocs=7225 sample
t=85.0 live=652676 hwm=891228 allocs=7227 sample
t=86.0 live=652676 hwm=891228 allocs=7229 sample
t=87.0 live=652676 hwm=891228 allocs=7231 sample
